date,sdy,lat,lon,Tchl,Fuco,Perid,Hex-fuco,MV_Chl_b,Zea
20240919,263,34.2506,-119.7632,1.228,0.443,0.028,0.053,0.029,0.024
20240919,263,34.2506,-119.7632,1.169,0.44,0.027,0.053,0.028,0.019
20240919,263,34.2506,-119.7632,1.182,0.459,0.027,0.053,0.029,0.023
20240919,263,34.2772,-119.6762,0.657,0.159,0.013,0.067,0.031,0.053
20240919,263,34.2772,-119.6762,0.632,0.147,0.011,0.065,0.032,0.053
20240919,263,34.2772,-119.6762,0.621,0.141,0.011,0.066,0.032,0.053
20240920,264,34.2531,-119.8045,0.914,0.312,0.04,0.064,0.029,0.023
20240920,264,34.2531,-119.8045,0.846,0.299,0.035,0.062,0.028,0.022
20240920,264,34.2531,-119.8045,0.89,0.291,0.032,0.063,0.029,0.022
20240920,264,34.3736,-119.9479,1.834,0.398,0.08,0.17,0.145,0.039
20240920,264,34.3736,-119.9479,1.878,0.398,0.084,0.172,0.152,0.042
20240920,264,34.3736,-119.9479,1.961,0.436,0.087,0.178,0.151,0.047
20240920,264,34.3606,-119.72,0.541,0.151,0.012,0.057,0.031,0.028
20240920,264,34.3606,-119.72,0.548,0.153,0.01,0.057,0.034,0.028
20240920,264,34.3606,-119.72,0.598,0.171,0.014,0.058,0.034,0.03
20240921,265,33.6046,-119.4343,0.395,0.022,0.007,0.103,0.019,0.083
20240921,265,33.6046,-119.4343,0.404,0.025,0.007,0.104,0.019,0.085
20240921,265,33.6046,-119.4343,0.405,0.024,0.007,0.104,0.019,0.086
20240922,266,33.6813,-119.557,0.783,0.129,0.012,0.168,0.036,0.053
20240922,266,33.6813,-119.557,0.835,0.149,0.013,0.178,0.038,0.06
20240922,266,33.6813,-119.557,0.84,0.14,0.012,0.179,0.041,0.058
20240922,266,33.6205,-119.4671,0.606,0.047,0.011,0.158,0.036,0.084
20240922,266,33.6205,-119.4671,0.605,0.048,0.011,0.158,0.037,0.085
20240922,266,33.6205,-119.4671,0.602,0.046,0.011,0.157,0.036,0.084
20240923,267,34.2938,-119.8578,1.259,0.288,0.056,0.13,0.061,0.035
20240923,267,34.2938,-119.8578,1.376,0.332,0.064,0.133,0.062,0.035
20240923,267,34.2938,-119.8578,1.336,0.316,0.061,0.134,0.063,0.034
20240923,267,34.2142,-119.5823,1.75,0.387,0.148,0.129,0.085,0.072
20240923,267,34.2142,-119.5823,1.781,0.387,0.164,0.129,0.088,0.075
20240923,267,34.2142,-119.5823,1.555,0.314,0.147,0.125,0.086,0.072
20240925,269,34.1156,-119.6838,0.863,0.178,0.028,0.103,0.046,0.056
20240925,269,34.1156,-119.6838,0.886,0.186,0.029,0.1,0.046,0.057
20240925,269,34.1156,-119.6838,0.896,0.198,0.03,0.104,0.046,0.055
20240925,269,34.1022,-119.6402,0.682,0.11,0.015,0.11,0.037,0.067
20240925,269,34.1022,-119.6402,0.679,0.111,0.015,0.108,0.036,0.07
20240925,269,34.1022,-119.6402,0.669,0.118,0.014,0.107,0.033,0.063
20240925,269,34.1882,-119.6986,0.667,0.115,0.024,0.097,0.046,0.042
20240925,269,34.1882,-119.6986,0.718,0.122,0.028,0.102,0.05,0.048
20240925,269,34.1882,-119.6986,0.653,0.108,0.025,0.095,0.047,0.044
20240925,269,34.3103,-119.6844,1.243,0.215,0.176,0.128,0.079,0.062
20240925,269,34.3103,-119.6844,1.464,0.259,0.176,0.145,0.088,0.079
20240925,269,34.3103,-119.6844,1.362,0.295,0.098,0.135,0.083,0.072
20240926,270,34.1884,-119.6293,1.496,0.225,0.085,0.124,0.133,0.171
20240926,270,34.1884,-119.6293,1.512,0.248,0.09,0.13,0.128,0.158
20240926,270,34.1884,-119.6293,1.501,0.234,0.087,0.132,0.134,0.159
20240926,270,34.337,-119.649,2.441,0.235,0.737,0.098,0.092,0.099
20240926,270,34.337,-119.649,2.458,0.233,0.766,0.097,0.095,0.102
20240926,270,34.337,-119.649,2.372,0.236,0.717,0.099,0.092,0.102
